family,naive_error,repaired_error,improvement_ratio,fit_corr,continuity_score
compact,0.0024894357516573504,0.001075537625339572,0.5679592754336045,0.8826108989260164,0.7293410488497206
dipole,0.0027081406699553546,0.0016465468619826658,0.39200098405456496,0.8105409331154843,0.610887492061455
ring,0.0038689105181911824,0.002106405407364903,0.45555592513283066,0.835872796076424,0.6437416042947123
mixed,0.002595766226750191,0.001429995479404434,0.44910467471339155,0.8461688339188222,0.6533811844707205
