family,translation,rotation,reflection,global_phase,bell_bounded,pauli_spinor
compact,1.0,0.9999999999999993,0.9999648237749368,0.9999999999999999,1.0,0.7277596082203937
dipole,1.0,0.9999999999999996,0.9999311587413577,0.9999999999999999,1.0,0.6869579759346713
ring,1.0,0.9999999999999998,0.999932496193206,0.9999999999999999,1.0,0.728573115670122
mixed,1.0,0.9999999999999996,0.9996955834097094,0.9999999999999999,1.0,0.7115841530694555
