test,score_mean,score_min
translation,1.0,1.0
rotation,0.9999999999999996,0.9999999999999993
reflection,0.9998810155298025,0.9996955834097094
global_phase,0.9999999999999999,0.9999999999999999
bell_bounded,1.0,1.0
pauli_spinor,0.7137187132236607,0.6869579759346713
